Ala-Kokko, Laura;VIHR;147
Granlund, Anna;VIHR;90
Horila, Taavi;VIHR;35
Jaskari, Maria;VIHR;13
Jumppanen, Aapo;VIHR;53
Kivimäki, Laura;VIHR;51
Koivulahti, Anu;VIHR;60
Korpela, Jani;VIHR;8
Kurkimäki, Toni;VIHR;40
Laakso, Kivi;VIHR;10
Lähdesmäki, Kaisa;VIHR;17
Muilu, Mikko;VIHR;174
Mäkikomsi, Jenny;VIHR;9
Mäkinen, Jani;VIHR;16
Ojajärvi, Tuomas;VIHR;191
Ollila, Sirpa;VIHR;11
Paski, Perttu;VIHR;16
Rantasaari, Henna;VIHR;273
Rintala, Nuutti;VIHR;41
Roos, Liinamaria;VIHR;28
Rosell, Kari;VIHR;8
Saarteinen, Lotta;VIHR;53
Salmela, Hannele;VIHR;26
Salo, Henna;VIHR;127
Sam, Terence;VIHR;14
Siddiqi, Sohrab;VIHR;30
Sirén, Suoku;VIHR;21
Teppo, Jussi;VIHR;37
Väliaho, Heidi;VIHR;44
Aittoniemi, Pirjo;KESK;139
Aro, Jorma;KESK;21
Eloniemi, Paavo;KESK;108
Flinkkilä, Anne;KESK;258
Haapala, Markus;KESK;109
Heikkilä, Ismo;KESK;12
Heinonen, Henna Helmi;KESK;165
Heiska, Juho;KESK;23
Hemminki, Aila;KESK;44
Homi, Kari;KESK;171
Hyytiä, Arja;KESK;97
Isopahkala, Olli;KESK;188
Jokilehto, Kaisa;KESK;17
Julmala, Juha;KESK;59
Kaleva, Justiina;KESK;27
Kallio, Karri;KESK;114
Kankaanpää, Pauli;KESK;85
Karhu, Johannes;KESK;428
Kesseli, Antti;KESK;111
Kitinoja, Helli;KESK;59
Kivisaari, Pasi;KESK;881
Koivusaari, Jenna;KESK;29
Konttas, Juha;KESK;184
Korpi-Hyövälti, Eeva;KESK;40
Kuivinen, Mikko;KESK;116
Kärkölä, Anni;KESK;21
Kärsämä, Sini-Elina;KESK;18
Lammassaari, Virpi;KESK;23
Lehtimäki, Suvi;KESK;123
Lemettinen, Mauno;KESK;74
Liikala, Tuomas;KESK;11
Linnainmaa, Simo;KESK;10
Luotola, Mikael;KESK;282
Lähdesmäki, Kalle;KESK;55
Mantere, Pilvi;KESK;72
Martikkala, Kirsi;KESK;55
Martinmäki, Juha-Matti;KESK;5
Melender, Ritva;KESK;61
Mikkonen, Juha;KESK;21
Mustikkamaa, Jussi;KESK;15
Mäenpää, Keijo;KESK;61
Mäenpää, Mervi;KESK;259
Mäkelä, Ilkka;KESK;30
Mäkelä, Kimmo;KESK;22
Mäkynen, Hanna;KESK;72
Männikkö, Mikko;KESK;62
Määttä, Mikael;KESK;50
Niemelä, Ari;KESK;40
Niemi, Anne;KESK;62
Nokua, Markus;KESK;36
Nortunen, Tatu;KESK;85
Nuottivaara, Esa;KESK;326
Nurminen, Ukko;KESK;47
Ojaniemi, Kati;KESK;361
Pajulammi, Martti;KESK;174
Pasanen, Jukka;KESK;24
Peltokangas, Tero;KESK;9
Peltonen, Jouko;KESK;188
Pihlajamäki, Jaakko;KESK;52
Prusti, Arto;KESK;85
Prusti, Hanne;KESK;36
Puumalainen, Elena;KESK;8
Rajala, Timo;KESK;21
Rantalahti, Karri;KESK;11
Saari, Anne;KESK;26
Seppä, Mikko;KESK;8
Sihto, Paula;KESK;237
Siren, Aino-Maija;KESK;20
Soidinmäki, Ari;KESK;31
Suomalainen, Mika;KESK;77
Turenius, Irene;KESK;250
Valli, Leena;KESK;45
Vettenranta, Minna;KESK;44
Vieri, Jukka;KESK;35
Vihriälä, Jukka;KESK;109
Ylinen, Aki;KESK;543
Ahonen, Anne;SDP;118
Alajoki, Jaana;SDP;40
Alasaari, Antti;SDP;9
Asikainen, Raimo;SDP;5
Behm, Niina;SDP;127
Haanpää, Oskari;SDP;5
Jokiranta, Harri;SDP;180
Kaihlamäki, Henna;SDP;36
Kalliokoski, Jukka;SDP;47
Kangasluoma, Pekka;SDP;41
Keski-Hynnilä, Reijo;SDP;112
Kivimäki, Jari;SDP;128
Koivisto, Kirsti;SDP;56
Koivisto, Rauni;SDP;31
Korpela, Aki;SDP;24
Korpikoski, Eija;SDP;29
Koski, Jani;SDP;10
Kotilainen, Birgit;SDP;28
Kovero, Orvo;SDP;11
Kuivasmäki, Pekka;SDP;27
Kujanpää, Santeri;SDP;47
Kunnari, Kirsi;SDP;31
Lehtola, Eetu;SDP;233
Lehtola, Markku;SDP;154
Luhtanen, Anu;SDP;16
Maunuksela, Anne;SDP;16
Mäki-Valkama, Anne-Mari;SDP;95
Mäkynen, Elisa;SDP;24
Nuolikoski, Jaakko;SDP;11
Nuolikoski, Pirjo;SDP;41
Oravasaari, Jari;SDP;21
Penttilä, Sirkka;SDP;204
Perkiö, Seppo;SDP;165
Petäys, Marko;SDP;13
Rautajoki, Arto;SDP;18
Rijal, Gobinda;SDP;155
Rintasalo, Riikka;SDP;34
Saarela, Hanna-Leena;SDP;35
Seppälä, Janne;SDP;16
Silver, Joanna;SDP;138
Syrjälä, Sirpa;SDP;90
Särkelä, Tarmo;SDP;9
Särkelä, Taru;SDP;11
Talvitie, Kaarle;SDP;13
Tenkula, Jarkko;SDP;66
Torppa, Tapani;SDP;14
Tulisalo, Tellervo;SDP;86
Vesapuisto, Tiina;SDP;51
Wallin, Harry;SDP;587
Ylä-Häkkinen, Tero;SDP;2
Anttila, Esko;KD;10
Eilola, Matti;KD;49
Itäsalmi, Jyrki;KD;18
Kantokoski, Jani;KD;55
Latvala, Annukka;KD;87
Lehtorinne, Elina;KD;4
Leskinen, Markus;KD;7
Loikkanen, Juho;KD;25
Nummensalo, Kati;KD;394
Nygård, Ruut;KD;31
Ojala, Henna;KD;9
Ojanperä, Esa;KD;22
Palojärvi, Heikki;KD;37
Poikonen, Marjo;KD;13
Rantanen, Kimmo;KD;113
Ruotsala, Aki;KD;626
Särkelä, Viveca;KD;19
Tulisalo, Ulla;KD;50
Grönlund, Immanuel;VAS;23
Haapala, Lotta;VAS;122
Heinämäki, Annukka;VAS;45
Hirvonen, Anne-Maria;VAS;73
Kantola, Viivi;VAS;66
